text
"Началось с того,"
Бедный друг мой
Я предложил ему
"Кстати, костюм его"
Только что мы
Степан Трофимович привстал
Так просидели мы
Степан Трофимович начал
Вошел еще раз
— Варвара Петровна
Бедный друг мой
Вдруг у подъезда
Все мы привскочили
"Послышалось наконец, что"
И вдруг она
"За нею, несколько"
Если б я
Чтоб объяснить эту
"Во-первых, к обедне"
"Знали, что пожалует"
"Замечу, что у"
Всем дамам известно
Одна лишь Варвара
"Прибыв в собор,"
"Но заметили тоже,"
"Кончилась наконец обедня,"
У нас любили
И вот во
Эти ваньки в
Остановясь у угла
— У меня
"— Ну, да"
Насмешки и даже
Да и действительно
Она была болезненно
Такого вербного херувима
